ID,Name,Cadre,Reference_Value,Qualification,Subject,Category_of_Subject,Division
UT011800,Shri Dev Singh Negi,A G M U T,0,Graduate,English,Languages and Fine Arts,Third
UT011800,Shri Dev Singh Negi,A G M U T,1,P.G.,History,Social Science and Liberal Arts,Second
GJ018200,Shri Jasvinder Singh Rana,Gujarat,0,Graduate,English,Languages and Fine Arts,Second
GJ018200,Shri Jasvinder Singh Rana,Gujarat,1,P.G.,English,Languages and Fine Arts,Second
GJ018300,Shri Vinod Kumar Babbar,Gujarat,0,Graduate,Physics,Natural Sciences,First
GJ018300,Shri Vinod Kumar Babbar,Gujarat,1,P.G.,National Dev,"Governance, Law and Management",Ordinary
GJ018500,Shri Binay Kumar Sinha,Gujarat,0,Diploma,German,Languages and Fine Arts,Ordinary
GJ018500,Shri Binay Kumar Sinha,Gujarat,1,Graduate,English,Languages and Fine Arts,First
GJ018700,Shri Devender Kumar Sikri,Gujarat,0,Graduate,Physics,Natural Sciences,First
GJ018700,Shri Devender Kumar Sikri,Gujarat,1,P.G.,Mathematics,"Engineering, Technology and Mathematics",First
GJ018800,Shri Alexander Koippuram Luke,Gujarat,0,Graduate,Civil Engg,"Engineering, Technology and Mathematics",Second
GJ018900,Dr. Varun Nath Maira,Gujarat,0,Graduate,Economics,Social Science and Liberal Arts,First
GJ018900,Dr. Varun Nath Maira,Gujarat,1,M.Phil.,Economics,Social Science and Liberal Arts,-
GJ018900,Dr. Varun Nath Maira,Gujarat,2,P.G.,Economics,Social Science and Liberal Arts,First
GJ019000,Shri B P Meena,Gujarat,0,Graduate,Hindi,Languages and Fine Arts,Third
GJ019000,Shri B P Meena,Gujarat,1,P.G.,Geography,Social Science and Liberal Arts,Second
GJ019100,Shri Ramdhan Lal Meena,Gujarat,0,Graduate,English Lit,Languages and Fine Arts,Second
GJ019100,Shri Ramdhan Lal Meena,Gujarat,1,M.A.,Geography,Social Science and Liberal Arts,First
GJ019100,Shri Ramdhan Lal Meena,Gujarat,2,M.B.A. (UK),Globalization and Urban Dev,"Governance, Law and Management",-
GJ019100,Shri Ramdhan Lal Meena,Gujarat,3,Certificate,Intrnl Business,"Governance, Law and Management",-
GJ019101,Ms. Mg Vashi,Gujarat,0,Graduate,English,Languages and Fine Arts,Second
GJ019101,Ms. Mg Vashi,Gujarat,1,P.G.,Hindi,Languages and Fine Arts,Second
GJ019102,Shri Pk Thakar,Gujarat,0,Graduate,English,Languages and Fine Arts,Ordinary
GJ019103,Shri Gc Shah,Gujarat,0,N.A.,Commerce,Finance,Ordinary
GJ019104,Shri Kd Parmar,Gujarat,0,Graduate,Economic Dev.,Social Science and Liberal Arts,Ordinary
GJ019104,Shri Kd Parmar,Gujarat,1,Graduate,Law,"Governance, Law and Management",Second
GJ019104,Shri Kd Parmar,Gujarat,2,P.G.,Political Sc.,Social Science and Liberal Arts,Second
HP006600,Ms. Rajwant Sandhu,Himachal Pradesh,0,Graduate,Chemistry,Natural Sciences,First
HP006600,Ms. Rajwant Sandhu,Himachal Pradesh,1,P.G.,Organic Chemistry,Natural Sciences,First
HP006600,Ms. Rajwant Sandhu,Himachal Pradesh,2,M.B.A.,Finance,Finance,-
HP006700,Shri Avay Shukla,Himachal Pradesh,0,Graduate,English,Languages and Fine Arts,Second
HP006700,Shri Avay Shukla,Himachal Pradesh,1,P.G.,English Lit,Languages and Fine Arts,Second
HP006700,Shri Avay Shukla,Himachal Pradesh,2,PG Diploma,Management,"Engineering, Technology and Mathematics",Ordinary
HP006800,Shri Jai Prakash Negi,Himachal Pradesh,0,Diploma,Constl.law,"Governance, Law and Management",Ordinary
HP006800,Shri Jai Prakash Negi,Himachal Pradesh,1,Graduate,English,Languages and Fine Arts,Third
HP006800,Shri Jai Prakash Negi,Himachal Pradesh,2,M.B.A.,Business Admn.,"Governance, Law and Management",Ordinary
HP006800,Shri Jai Prakash Negi,Himachal Pradesh,3,P.G.,English Lit,Languages and Fine Arts,Third
